一级分类	二级分类		商品条码	商品名称	入库/上架/售出/退回	商品进价（元）	商品售价（元）	售出季度
电器（01）	电脑（0101）		010101		宏基笔记本电脑	入库			3000		4500		20140113
电器（01）	电脑（0101）		010102		宏基笔记本电脑	入库			3000		4500		20140506
电器（01）	电脑（0101）		010102		宏基笔记本电脑	上架			3000		4500		20140516	
电器（01）	电脑（0101）		010102		宏基笔记本电脑	售出			3000		4500		20140526
电器（01）	电脑（0101）		010103		联想台式电脑	入库            	900		2000		20140203
电器（01）	电脑（0101）		010103		联想台式电脑	上架             	900		2000		20140204
电器（01）	电脑（0101）		010103		联想台式电脑	售出             	900		2000		20140220
电器（01）	电脑（0101）		010103		联想台式电脑	退回（产品质量问题）	900		2000		20140223
电器（01）	电脑（0101）		010104		联想台式电脑	入库			900		2000		20140211
电器（01）	电脑（0101）		010104		联想台式电脑	上架			900		2000		20140212
电器（01）	电脑（0101）		010105		联想台式电脑	入库			900		2000		20140508
电器（01）	电脑（0101）		010105		联想台式电脑	上架			900		2000		20140513
电器（01）	电脑（0101）		010105		联想台式电脑	售出			900		2000		20140601
电器（01）	家用电器（0102）	010201		美的冰箱	入库			1000		1599		20140107
电器（01）	家用电器（0102）	010201		美的冰箱	上架			1000		1599		20140130
电器（01）	家用电器（0102）	010202		美的冰箱	入库			1000		1599		20140310
电器（01）	家用电器（0102）	010202		美的冰箱	上架			1000		1599		20140312
电器（01）	家用电器（0102）	010203		中央空调	入库			8000		11690		20140711
电器（01）	家用电器（0102）	010204		中央空调	入库			8000		11690		20140410
电器（01）	家用电器（0102）	010204		中央空调	上架			8000		11690		20140411
电器（01）	家用电器（0102）	010204		中央空调	售出			8000		11690		20140415
电器（01）	家用电器（0102）	010205		索尼液晶电视	入库			2100		2799		20140710
电器（01）	家用电器（0102）	010205		索尼液晶电视	上架			2100		2799		20140712
电器（01）	家用电器（0102）	010205		索尼液晶电视	售出			2100		2799		20140819
电器（01）	家用电器（0102）	010206		索尼液晶电视	入库			2100		2799		20140315
电器（01）	家用电器（0102）	010207		索尼液晶电视	入库			2100		2799		20140310
电器（01）	家用电器（0102）	010207		索尼液晶电视	上架			2100		2799		20140316
电器（01）	移动电子商品（0103）	010301		iPhone5s手机	入库			3000		4799		20140311
电器（01）	移动电子商品（0103）	010301		iPhone5s手机	上架			3000		4799		20140316
电器（01）	移动电子商品（0103）	010302		iPhone5s手机	入库			3000		4799		20140301
